formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiCuAu2,-0.303081698,14.51469028,1121.53,133,1.56,1.99,0,7.5,18.535,10.52125
AgPdAu2,-0.089660366,16.93285041,1434.41,139,0.61,2.3025,0,10,2.19,5.8475
CdAgAu2,-0.137242404,18.16798508,1125.9525,140.25,0.85,2.175,0,10,1.52,6.4775
ZnCuAu2,-0.13147108,15.62643351,1181.2775,131.5,0.89,2.1575,0,10,0.35,5.891666667
MgAlAu2,-0.478387731,16.68072341,1132.7825,133.5,1.23,2,0.25,5,4.966666667,7.291666667
Sr2TlPb,-0.580310783,34.18471992,819.4025,170.25,1.38,1.4625,0.75,5,18.555,16.41125
Mg16Al12Tl,0.008302665,20.45171666,915.4013793,132.862069,0.31,1.444827586,0.448275862,0.344827586,3.966666667,9.014367816
Li2TlPt,-0.434467043,15.99251566,881.445,134.25,1.3,1.465,0.25,4.75,17.835,15.68
NaTl2Pb,-0.114015813,30.44069226,531.37,150.5,1.4,1.625,1,7.5,17.115,11.55125
Li2MgTl,-0.178244319,18.39861681,601.845,135.5,0.64,1.2225,0.25,2.5,16.785,16.74666667
CaTl2Cd,-0.215361997,27.63277314,715.805,152.5,0.69,1.4825,0.5,7.5,18.41333333,12.03833333
GaCuAu2,0.999406778,182.9322259,1083.835,131.5,0.73,2.1975,0.25,10,2.32,6.4675
Li2GaHg,0.809711755,234.4995513,361.1525,127.5,1.02,1.4425,0.25,5,18.975,15.5375
In2GaSn,1.190947342,340.4549329,416.8725,136.25,0.18,1.8325,1.25,10,2.59,8.62
InGa2Sn,1.199431425,238.0966131,385.1625,131.25,0.18,1.84,1.25,10,2.59,8.2375
Mg2GaHg,1.083407887,243.0633918,595.8075,134,0.69,1.6075,0.25,5,5.406666667,8.753333333
Li2CdGa,0.928023506,240.0377538,451.1275,130.5,0.83,1.365,0.25,5,17.015,16.0275
Li2GaAg,0.95760188,226.9074627,611.305,130.75,0.95,1.425,0.25,5,17.345,15.945
LiGa2Au,0.904153043,201.8914758,599.21,127,1.56,1.785,0.5,7.5,18.535,11.59375
Mg2CdGa,1.169530916,276.6485019,685.7825,137,0.5,1.53,0.25,5,3.446666667,9.243333333
LiZnGa2,1.078965429,201.6725113,438.0475,123.5,0.83,1.5625,0.5,7.5,18.51833333,11.59791667
Li2ZnGa,1.005303193,217.3861751,475.7425,125,0.83,1.355,0.25,5,18.51833333,15.65166667
LiGa2Ag,1.106786136,210.9455085,573.61,129.25,0.95,1.6325,0.5,7.5,17.345,11.89125
ZnGaCu2,1.266505183,146.1250465,927.7825,127,0.25,1.815,0.25,10,2.303333333,6.559166667
Li2GaBi,0.935079041,276.2864193,438.6725,131.5,1.04,1.4475,1,5,23.935,14.2975
LiAlGa2,1.156407644,199.5592904,498.245,123.25,0.83,1.5525,0.75,5,17.535,11.84375
Li2MgGa,1.149111345,256.182297,533.3225,129.75,0.83,1.27,0.25,2.5,16.215,16.88916667
Mg2ZnGa,1.264926521,233.8020783,710.3975,131.5,0.5,1.52,0.25,5,4.95,8.8675
Mg2GaAu,1.013705326,234.9845323,871.56,135,1.23,1.7425,0.25,5,4.966666667,8.863333333
Li2InGa,1.05060423,254.8034751,410.01,130,0.83,1.3875,0.5,5,16.215,16.61
Sr2LiGa,1.186480802,381.9217029,714.15,160,0.86,1.1725,0.25,2.5,17.43,20.88875
Mg2InGa,1.335520304,273.547582,644.665,136.5,0.5,1.5525,0.5,5,2.646666667,9.825833333
Mg2GaPb,1.357101328,307.3764428,687.38,137.5,1.02,1.69,0.75,5,3.771666667,9.162083333
LiMgGa2,1.229083457,230.6720442,495.6275,128.25,0.83,1.4775,0.5,5,16.215,12.83541667
Sr2GaHg,0.988919162,400.8372756,659.3075,161,1.05,1.4275,0.25,5,20.19,16.145
Li2CaGa,1.198791814,327.8320309,581.3225,138.5,0.83,1.1925,0.25,2.5,17.61333333,20.63083333
LiGa2Cu,1.199074525,177.7542835,604.32,126,0.92,1.625,0.5,7.5,18.185,11.68125
Sr2CdGa,1.130224406,398.3476217,749.2825,164,0.86,1.35,0.25,5,18.23,16.635
Li2GaSn,1.171205485,238.806208,428.8425,129.25,0.98,1.4325,0.75,5,17.275,15.9625
Mg2GaCu,1.379185103,198.1882395,876.67,134,0.59,1.5825,0.25,5,4.616666667,8.950833333
MgGaCu2,1.353578882,186.8698948,985.3625,131.75,0.59,1.73,0.25,7.5,4.616666667,7.796666667
Sr2ZnGa,1.18640179,364.5679719,773.8975,158.5,0.86,1.34,0.25,5,19.73333333,16.25916667
Ga2CuPd,1.175157653,168.4602958,947.91,128.75,0.39,1.93,0.5,10,3.32,6.7975
Ca2GaHg,1.008454227,345.8545084,691.8075,151.5,1,1.4525,0.25,5,20.37333333,16.23666667
Ca2CdGa,1.186926053,366.0936822,781.7825,154.5,0.81,1.375,0.25,5,18.41333333,16.72666667
Ca2ZnGa,1.253966923,315.7188054,806.3975,149,0.81,1.365,0.25,5,19.91666667,16.35083333
Ca2MgGa,1.344615534,366.3327862,863.9775,153.75,0.81,1.28,0.25,2.5,17.61333333,17.58833333
CdGaPd2,1.101213966,218.0669036,1138.3075,136,0.51,1.975,0.25,10,3.32,6.26
