formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
SrCdBi2,-0.445717194,8.044358078,139,31.89190227,683.255,158.75,18.125,1.07,1.67,1.5,7.5,34.735,0.214861235,30.26875,25.15,8.4175
Sr(BiPd)2,-0.599146192,9.308565552,11,25.63157122,1158.98,153.8,16.48,1.25,1.878,1.2,8,39.82,0.268546492,30.94944,25.15,7.19
Na2SrSn4,-0.411834036,4.756496633,15,30.34459127,544.58,154.7142857,17.95918367,1.03,1.521428571,1.142857143,5.714285714,24.98666667,0.162696422,27.32361516,18.49,14.57285714
SrHg2Pb,-0.403781776,10.22532792,225,28.2566779,529.8125,151.25,21.875,1.38,1.82,0.5,7.5,28.99241379,0.225877808,39.8125,20.19,10.81625
SrGaSn,-0.622364493,5.357300722,194,28.52162652,619.33,152,28.66666667,1.01,1.573333333,1,6.666666667,35.3725,0.18801852,45.10222222,18.49,13.57666667
Mg6AlNi,0.034212498,2.499259534,38,19.22684446,1024.93375,136.375,6.9375,0.6,1.4225,0.125,1,12.57,0.048738881,9.86859375,3.966666667,9.775
SrMg6Sn,-0.005604217,2.782235856,38,26.27272938,886.635,147.5,11.875,1.01,1.34625,0.25,1.25,31.34,0.044473105,15.98671875,18.49,12.15125
Na(GaAu2)2,-0.281743709,11.71154771,14,19.24856816,903.7157143,136.2857143,8.489795918,1.61,2.101428571,0.285714286,8.571428571,12.54333333,0.448570183,17.84069971,18.31,9.078571429
Sr4Sn9Au7,-0.519045986,8.705330184,115,26.68241035,905.3515,149.15,18.34,1.59,1.961,0.9,8,37.53,0.252610971,35.96474,19.75,10.317
Zn2CuAu,-0.14467875,11.44422744,225,14.19535965,1020.115,128,6,0.89,1.935,0,10,5.63,0.718261806,11.61,0.35,5.895833333
Mg17Al11Au,-0.050480548,2.60583179,8,19.92908435,941.2586207,133.2413793,9.286563615,1.23,1.466206897,0.379310345,0.344827586,6.41,0.017032583,13.61602362,4.966666667,9.090804598
MgAgAu2,-0.336101517,12.49531649,225,17.47895157,1208.1475,139.5,3.5,1.23,2.08,0,7.5,6.56,0.413109336,7.28,4.966666667,7.339166667
BiPb3Au,-0.041301747,11.44538774,136,29.81606081,736.712,144.4,3.36,0.52,2.31,1.8,10,16.25,0.373190028,7.7616,6.595,5.437
Sr2CdAu3,-0.651086433,9.528486219,8,25.51765547,1117.701667,157,25.33333333,1.59,1.868333333,0,6.666666667,37.53,0.224649687,47.33111111,19.75,12.63666667
LiCdAu2,-0.392364252,12.33302143,225,17.27739689,930.6425,136,4,1.56,1.9375,0,7.5,2.901666667,0.431727148,7.75,18.535,10.81375
CaSnAu,-0.724991625,8.166619095,44,24.11215515,985.8033333,150.3333333,17.11111111,1.54,1.833333333,0.666666667,6.666666667,21.07,0.227907242,31.37037037,19.93333333,12.86444444
Ca2PdAu,-0.740615748,7.043294521,225,22.6061617,1348.845,156.75,19.25,1.54,1.685,0,5,23.36,0.187529301,32.43625,20.93333333,15.51666667
Na4TlAu,-0.203975013,4.924116725,69,27.72608174,566.3016667,157.5,11.33333333,1.61,1.313333333,0.166666667,3.333333333,12.54333333,0.124545926,14.88444444,18.31,18.29833333
Li2ZnAu,-0.388583885,8.173849609,225,14.0306131,734.3475,128.5,3.75,1.56,1.5375,0,5,2.74,0.313250496,5.765625,18.535,15.07166667
LiCuAu2,-0.303081698,13.28288389,225,14.51469028,1121.53,133,3,1.56,1.99,0,7.5,5.63,0.491293193,5.97,18.535,10.52125
AgPdAu2,-0.089660366,14.91147781,225,16.93285041,1434.41,139,3,0.61,2.3025,0,10,2.29,0.623635797,6.9075,2.19,5.8475
CdAgAu2,-0.137242404,14.03462709,225,18.16798508,1125.9525,140.25,4.25,0.85,2.175,0,10,3.165,0.57782593,9.24375,1.52,6.4775
ZnCuAu2,-0.13147108,13.89114445,10,15.62643351,1181.2775,131.5,4.75,0.89,2.1575,0,10,5.63,0.684579839,10.248125,0.35,5.891666667
MgAlAu2,-0.478387731,11.08022488,225,16.68072341,1132.7825,133.5,6.25,1.23,2,0.25,5,6.41,0.274838532,12.5,4.966666667,7.291666667
Sr2TlPb,-0.580310783,7.126305386,225,34.18471992,819.4025,170.25,24.75,1.38,1.4625,0.75,5,27.32,0.122339124,36.196875,18.555,16.41125
Mg16Al12Tl,0.008302665,2.567499966,217,20.45171666,915.4013793,132.862069,9.816884661,0.31,1.444827586,0.448275862,0.344827586,10.43,0.016923051,14.18370577,3.966666667,9.014367816
Li2TlPt,-0.434467043,10.72974814,225,15.99251566,881.445,134.25,6.25,1.3,1.465,0.25,4.75,11.89,0.252939871,9.15625,17.835,15.68
NaTl2Pb,-0.114015813,8.713763834,225,30.44069226,531.37,150.5,7.75,1.4,1.625,1,7.5,2.333333333,0.269848885,12.59375,17.115,11.55125
Li2MgTl,-0.178244319,5.473203009,225,18.39861681,601.845,135.5,7.5,0.64,1.2225,0.25,2.5,10.31666667,0.120501285,9.16875,16.785,16.74666667
CaTl2Cd,-0.215361997,8.431897565,225,27.63277314,715.805,152.5,11.75,0.69,1.4825,0.5,7.5,18.275,0.270063465,17.419375,18.41333333,12.03833333
GaCuAu2,0.999406778,1.196399024,71,182.9322259,1083.835,131.5,4.75,0.73,2.1975,0.25,10,7.7875,0.631637124,10.438125,2.32,6.4675
Li2GaHg,0.809711755,0.503110664,71,234.4995513,361.1525,127.5,2.75,1.02,1.4425,0.25,5,8.644252874,0.258793302,3.966875,18.975,15.5375
In2GaSn,1.190947342,0.509773717,71,340.4549329,416.8725,136.25,7.125,0.18,1.8325,1.25,10,14.4275,0.397367441,13.0565625,2.59,8.62
InGa2Sn,1.199431425,0.650301037,71,238.0966131,385.1625,131.25,9.25,0.18,1.84,1.25,10,14.4275,0.419903422,17.02,2.59,8.2375
Mg2GaHg,1.083407887,0.544697514,71,243.0633918,595.8075,134,7,0.69,1.6075,0.25,5,6.380086207,0.22253108,11.2525,5.406666667,8.753333333
Li2CdGa,0.928023506,0.339001074,71,240.0377538,451.1275,130.5,6.75,0.83,1.365,0.25,5,2.901666667,0.279567137,9.21375,17.015,16.0275
Li2GaAg,0.95760188,0.350306602,71,226.9074627,611.305,130.75,7.125,0.95,1.425,0.25,5,2.5275,0.292508135,10.153125,17.345,15.945
LiGa2Au,0.904153043,0.706012986,71,201.8914758,599.21,127,5,1.56,1.785,0.5,7.5,2.264166667,0.422485624,8.925,18.535,11.59375
Mg2CdGa,1.169530916,0.346251131,71,276.6485019,685.7825,137,7.5,0.5,1.53,0.25,5,4.0325,0.237720263,11.475,3.446666667,9.243333333
LiZnGa2,1.078965429,0.435973562,71,201.6725113,438.0475,123.5,2.25,0.83,1.5625,0.5,7.5,4.8975,0.439442396,3.515625,18.51833333,11.59791667
Li2ZnGa,1.005303193,0.284566818,71,217.3861751,475.7425,125,3,0.83,1.355,0.25,5,4.8975,0.303011174,4.065,18.51833333,15.65166667
LiGa2Ag,1.106786136,0.500367009,71,210.9455085,573.61,129.25,7.875,0.95,1.6325,0.5,7.5,2.5275,0.424698582,12.8559375,17.345,11.89125
ZnGaCu2,1.266505183,0.744966737,71,146.1250465,927.7825,127,5,0.25,1.815,0.25,10,7.7875,0.727835145,9.075,2.303333333,6.559166667
Li2GaBi,0.935079041,0.439624836,71,276.2864193,438.6725,131.5,8.25,1.04,1.4475,1,5,16.35666667,0.235310266,11.941875,23.935,14.2975
LiAlGa2,1.156407644,0.360651251,71,199.5592904,498.245,123.25,2.375,0.83,1.5525,0.75,5,2.3775,0.282532432,3.6871875,17.535,11.84375
