formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
GaCuPt2,-0.426771297,15.14844218,225,14.34450449,1435.87,131.5,4.75,0.47,2.0675,0.25,9.5,7.7875,0.633676575,9.820625,1.97,6.8175
PdPtAu,-0.014241523,16.84856461,156,16.37587281,1735.593333,137,1.333333333,0.34,2.34,0,9.666666667,2.29,0.62865814,3.12,1.7,5.7
Sr2PdPt,-0.64865336,7.752547188,225,25.52877195,1492.3625,166.25,28.75,1.33,1.595,0,4.75,39.82,0.137790993,45.85625,20.75,15.6
Al2NiPt,-0.79317686,9.496084757,123,13.45330991,1409.085,125.5,5.25,0.67,1.8525,0.5,4.25,6.16,0.291595197,9.725625,0.3,6.725
Sr2PtAu,-0.798878797,8.815811434,225,26.71359747,1369.6825,165.5,29.5,1.59,1.68,0,4.75,39.21,0.13554002,49.56,19.75,15.85
LiMgSnPt,-0.658418388,8.596006967,216,16.6633299,980.7925,136,4,1.3,1.6325,0.5,4.75,18.265,0.21642967,6.53,17.835,12.16541667
LiMgSnPd,-0.581613253,6.13784202,216,17.34006685,927.455,136.75,4.375,1.22,1.6125,0.5,5,18.875,0.229414801,7.0546875,19.535,11.74041667
Sn4Ir,-0.159459894,9.541995105,142,23.21682617,951.864,139.4,0.64,0.24,2.008,1.6,9.4,19.075,0.318968442,1.28512,0.54,7.168
NiIr,0.035063555,16.50795137,166,12.61957077,2233.5,132.5,8.5,0.29,2.055,0,7.5,3.89,0.611496127,17.4675,0.8,7.2
Bi4Ir,-0.006417381,10.23852325,166,33.34981559,983.32,146.6,2.24,0.18,2.056,2.4,9.4,18.74,0.321895761,4.60544,7.2,1.84
Sr2Ir,-0.098319957,6.472920038,225,31.42202181,1613,177,24,1.25,1.366666667,0,2.333333333,40.02,0.057063667,32.8,17.95,19.56666667
IrPt,0.081434785,21.28042452,166,15.11079914,2390.2,138.5,2.5,0.08,2.24,0,8,0.81,0.547382826,5.6,1.1,7.05
IrPt3,0.08163729,20.92799694,221,15.42213585,2215.8,137.25,1.875,0.08,2.26,0,8.5,0.81,0.573646027,4.2375,1.1,6.775
Al3Ir,-0.66822743,7.621496057,223,14.87882206,1384.8525,126,7.5,0.59,1.7575,0.75,1.75,2.27,0.109976434,13.18125,0.8,7
MgIr,-0.262572782,11.82712816,51,15.19993844,1831,141,0,0.89,1.755,0,3.5,8.68,0.188679245,0,3.166666667,9.183333333
IrPd,0.110006305,16.69690933,166,14.85000593,2283.525,140,1,0,2.2,0,8.5,0.2,0.593990217,2.2,2.8,6.2
Mg7Ir3,-0.214262214,6.228513371,229,19.90952341,1467.8,141,0,0.89,1.577,0,2.1,8.68,0.103519669,0,3.166666667,9.816666667
IrPd3,0.127581837,14.06215541,139,15.09952627,2055.7875,139.5,0.75,0,2.2,0,9.25,0.2,0.644150418,1.65,2.8,5.5
Cd3Ir,0.054700145,11.72612994,221,18.74387401,1130.415,143.25,1.125,0.51,1.8175,0,9.25,5.285,0.508975858,2.0446875,0.28,7.39
Cd3Ir,0.055455048,11.74289411,139,18.71711523,1130.415,143.25,1.125,0.51,1.8175,0,9.25,5.285,0.508975858,2.0446875,0.28,7.39
SnIr3,0.022548525,18.17531258,194,15.88245183,2180.52,140.5,0.75,0.24,2.14,0.5,7.75,19.075,0.408351446,1.605,0.54,7.465
GaNi2Pt,-0.377416704,12.69098695,123,12.50193815,1450.0775,126.5,4.75,0.47,1.9775,0.25,8.75,8.5375,0.641995689,9.393125,1.62,7.055
Na3InBi2,-0.269791329,4.878599025,14,34.13637932,438.5266667,156,10,1.09,1.435,1.166666667,5,8.69,0.168643544,14.35,23.71,13.79666667
SrInAu5,-0.445289648,13.53770031,119,20.80443687,1166.628571,145.2857143,14.20408163,1.59,2.204285714,0.142857143,8.571428571,37.53,0.370393234,31.30985423,19.75,9.171428571
NaInSn2,-0.214260407,5.187326197,19,30.02897572,452.695,146.5,9.75,1.03,1.6575,1.25,7.5,9.025,0.249847316,16.160625,17.05,11.97
Sr2InPt2,-0.810996514,8.942200679,15,25.26317375,1322.51,160.8,27.36,1.33,1.648,0.2,5.6,39.21,0.17203244,45.08928,19.05,14.75
Sr2InPd2,-0.664488183,6.476331747,15,25.78872758,1237.17,162,26.4,1.25,1.616,0.2,6,39.82,0.185712517,42.6624,20.75,14.07
NaCdPd2,-0.225780335,8.152632573,225,17.73253599,1155.2975,147,9.5,1.27,1.755,0,7.5,14.83333333,0.38680563,16.6725,19.31,10.2575
Li2CdPt,-0.444232987,9.210280193,225,14.4854188,885.75,134,6,1.3,1.4825,0,4.75,4.475,0.280643017,8.895,17.835,15.6225
Sr5ZnCd4,-0.282453807,4.921616016,123,32.15910765,831.956,167.3,27.7,0.74,1.316,0,5,40.27,0.137706905,36.4532,19.73333333,16.28466667
Li2CdHg,-0.325240708,7.752347823,225,17.50443879,433.98,133,5.5,1.02,1.4125,0,5,8.644252874,0.256675972,7.76875,18.975,15.3375
Ca2CdHg,-0.439013756,6.017349168,225,27.12376079,764.635,157,19,1,1.4225,0,5,18.275,0.166288933,27.0275,20.37333333,16.03666667
LiMgCd2,-0.159461545,5.427726019,225,19.58513179,641.2825,139.25,5.625,0.71,1.4175,0,5,6.296666667,0.254863648,7.9734375,17.015,12.43541667
Ca3AlCd17,-0.151141911,6.873568286,146,23.67748994,684.7719048,147.4761905,8.149659864,0.69,1.587619048,0.047619048,8.095238095,21.29,0.368599647,12.93855523,18.93333333,9.925714286
CdHgPd2,-0.273911183,12.52833886,225,17.42408816,1121.16,138.5,3.25,0.51,2.0225,0,10,10.82758621,0.5438286,6.573125,2.52,5.57
SrLiMg14,0.049342019,1.840608594,38,24.51817653,901.605625,143.5625,6.4296875,0.36,1.266875,0,0,37.63666667,0,8.145610352,14.78333333,12.53864583
SrLiMg14,0.049407902,1.84062747,187,24.51792509,901.605625,143.5625,6.4296875,0.36,1.266875,0,0,37.63666667,0,8.145610352,14.78333333,12.53864583
Sr(InCu)2,-0.180056369,6.535569945,139,22.5797358,925.008,148.6,18.56,0.95,1.662,0.4,8,43.16,0.320281848,30.84672,19.4,11.43
SrMg14Cd,0.04674912,2.269438765,38,24.70850205,910.38875,144.5625,6.3046875,0.74,1.31125,0,0.625,34.735,0.025368799,8.267021484,18.23,11.47520833
SrMg14Zn,0.05681151,2.117094636,38,24.18238205,916.5425,143.1875,6.4765625,0.7,1.30875,0,0.625,40.27,0.025730091,8.476201172,19.73333333,11.38125
SrMg14Ga,0.033064408,2.143409204,38,24.09437921,892.181875,143.1875,6.4765625,0.86,1.31875,0.0625,0.625,35.3725,0.025409893,8.540966797,17.43,11.52520833
SrCaMg14,0.04251153,1.881331512,187,25.81546437,942.9375,146.5625,9.734375,0.36,1.268125,0,0,31.34,0,12.3444043,14.96666667,12.62604167
SrMg14Al,0.058657553,1.95976677,38,24.088707,931.591875,143.125,6.484375,0.66,1.30625,0.0625,0,37.75,0,8.470214844,18.75,11.44270833
SrMg14Cd,0.055013822,2.281408112,187,24.57886956,910.38875,144.5625,6.3046875,0.74,1.31125,0,0.625,34.735,0.025368799,8.267021484,18.23,11.47520833
SrMg14Cu,0.05345879,2.162776429,38,23.58220739,958.110625,143.8125,6.3984375,0.95,1.324375,0,0.625,43.16,0.025922854,8.473930664,19.4,11.40208333
LiAu3,-0.381727352,15.18659504,221,16.34233755,1116.42,134,3,1.56,2.15,0,7.5,0.106666667,0.449820072,6.45,18.535,10.43375
AlAu,-0.422981213,10.80591825,11,17.20698662,1135.4,128.5,7.5,0.93,2.075,0.5,5,0.22,0.301386377,15.5625,1,6.3
Li3Au,-0.403062935,6.030436561,225,14.99261637,674.6,130,3,1.56,1.37,0,2.5,0.106666667,0.150421179,4.11,18.535,19.70125
Ca5Au3,-0.712112056,5.893357503,140,27.86967087,1198.37375,161,18.75,1.54,1.5775,0,3.75,21.07,0.125549278,29.578125,19.93333333,18.25833333
Tl2Au,-0.04577717,13.08745483,140,25.618518,830.4433333,142,4,0.92,1.926666667,0.666666667,10,10.21,0.425411231,7.706666667,1.75,6.966666667
GaAu,-0.230839021,12.41941629,62,17.82887528,820.12,129,7,0.73,2.175,0.5,10,2.1575,0.56246924,15.225,2.32,6.96
In2Au3,-0.224129884,12.8265555,164,21.2454793,974.298,138.4,2.88,0.76,2.236,0.4,10,7.56,0.506996552,6.43968,3.85,7.34
Sr3Au2,-0.681544806,6.54859518,148,33.30884363,1164.932,171.4,28.32,1.59,1.586,0,4,37.53,0.101993982,44.91552,19.75,17.65
AgAu3,-0.064884731,16.57198585,221,17.50441104,1311.73,138.25,3.375,0.61,2.3875,0,10,0.37,0.602137588,8.0578125,1.19,6.0975
CaAu,-0.854996235,7.783714245,63,25.28495747,1226.165,156,20,1.54,1.77,0,5,21.07,0.183587296,35.4,19.93333333,15.76666667
Mg2Au,-0.481426778,7.137959889,62,19.04323238,1061.11,139.3333333,2.222222222,1.23,1.72,0,3.333333333,6.19,0.160051216,3.822222222,4.966666667,9.111111111
NaAu2,-0.40535114,11.48354666,227,20.09590463,1015.176667,146,13.33333333,1.61,2.003333333,0,6.666666667,12.54333333,0.319267812,26.71111111,18.31,11.90333333
Ag3Au,-0.061713689,12.44105591,221,17.37048627,1260.53,142.75,3.375,0.61,2.0825,0,10,0.37,0.608920688,7.0284375,1.19,6.6925
In2Au,-0.318354423,9.964386309,225,23.69740292,732.2766667,140,2.666666667,0.76,2.033333333,0.666666667,10,7.56,0.459981601,5.422222222,3.85,8.366666667
LiAu,-0.562660433,11.54412986,221,14.66530993,895.51,132,4,1.56,1.76,0,5,0.106666667,0.300360433,7.04,18.535,15.0675
ZnAu,-0.221881307,13.93859858,221,15.62871906,1015.005,129,7,0.89,2.095,0,10,2.74,0.652315721,14.665,0.016666667,5.808333333
MgAu,-0.591989967,10.47423108,221,17.53971638,1130.165,138.5,2.5,1.23,1.925,0,5,6.19,0.252589038,4.8125,4.966666667,8.283333333
Pd3Au,-0.049388452,13.72398272,221,15.61526276,1705.37,138.25,1.125,0.34,2.285,0,10,2.29,0.667445353,2.570625,1,5.05
SrAu,-0.81024381,7.996736337,11,29.54749886,1193.665,165.5,29.5,1.59,1.745,0,5,37.53,0.140984069,51.4775,19.75,15.675
MgAu3,-0.400315398,14.27358198,63,17.89269595,1233.7475,137.25,1.875,1.23,2.2325,0,7.5,6.19,0.411015208,4.1859375,4.966666667,7.041666667
AlAu2,-0.333313271,14.15047437,62,16.46458971,1202.71,131,6.666666667,0.93,2.23,0.333333333,6.666666667,0.22,0.40096231,14.86666667,1,6.133333333
Sr2InPd2,-0.664488183,6.476331747,15,25.78872758,1237.17,162,26.4,1.25,1.616,0.2,6,39.82,0.185712517,42.6624,20.75,14.07
Ca2InPt2,-0.98850285,8.552415684,15,22.72226202,1348.51,153.2,18.24,1.28,1.668,0.2,5.6,22.75,0.215650031,30.42432,19.23333333,14.82333333
Na3InBi2,-0.269791329,4.878599025,14,34.13637932,438.5266667,156,10,1.09,1.435,1.166666667,5,8.69,0.168643544,14.35,23.71,13.79666667
Ca2InPd2,-0.76017585,5.87047784,15,23.07107181,1263.17,154.4,17.28,1.2,1.636,0.2,6,23.36,0.233245218,28.27008,20.93333333,14.14333333
SrInAu5,-0.445289648,13.53770031,119,20.80443687,1166.628571,145.2857143,14.20408163,1.59,2.204285714,0.142857143,8.571428571,37.53,0.370393234,31.30985423,19.75,9.171428571
Sr2InPt2,-0.810996514,8.942200679,15,25.26317375,1322.51,160.8,27.36,1.33,1.648,0.2,5.6,39.21,0.17203244,45.08928,19.05,14.75
ZnCdPt2,-0.434753695,15.07746991,123,15.6386693,1342.425,134.5,6.25,0.63,1.975,0,9.5,5.535,0.598472321,12.34375,1.503333333,6.534166667
Sr2CdIn,-0.379173487,5.025216483,225,33.24809488,780.9925,169,26,0.83,1.3425,0.25,5,34.735,0.131393095,34.905,18.23,17.0175
Na2CdSn,-0.184196534,4.257525147,194,27.01899894,460.26,153.75,12.25,1.03,1.3775,0.5,5,13.79,0.179748352,16.874375,17.05,15.65
CdPd2Au,-0.287139343,12.99348726,225,16.68456391,1396.9125,139.5,2.25,0.85,2.1575,0,10,5.085,0.615242636,4.854375,2.52,5.68
Sr2TlCd,-0.377497783,6.166060667,225,33.12658687,817.805,169.75,25.25,0.74,1.3025,0.25,5,34.735,0.129144739,32.888125,18.23,16.4925
CdSnAu,-0.195652367,10.07083715,216,23.52853498,812.21,139.6666667,2.888888889,0.85,2.063333333,0.666666667,10,16.585,0.431778929,5.960740741,1.52,6.726666667
Li2InSn,-0.304122735,5.253778829,225,19.54945116,460.5525,134.25,6.25,0.98,1.425,0.75,5,16.69166667,0.220430206,8.90625,17.275,16.345
MgInAg2,-0.138226364,7.853262281,225,18.7583795,955.6525,143.25,1.75,0.62,1.7375,0.25,7.5,7.93,0.375892745,3.040625,3.776666667,8.599166667
MgInPd2,-0.662940088,8.778938373,225,16.64347916,1252.2125,140.25,1.25,0.89,1.8725,0.25,7.5,9.85,0.394892721,2.340625,5.966666667,7.504166667
Sr2LiCd,-0.154782603,3.564312605,225,34.31107053,786.9775,165.5,29.5,0.74,1.1425,0,2.5,37.63666667,0.069181012,33.70375,18.23,20.68875
Sr(InHg)2,-0.315897922,8.32400772,139,28.66386205,475.628,148.6,18.56,1.05,1.702,0.4,8,29.97,0.261053712,31.58912,20.19,11.114
Sr3Sn3Au8,-0.556050371,10.7421025,12,24.23323511,1097.42,149.2857143,19.59183673,1.59,2.075,0.428571429,7.857142857,37.53,0.277676103,40.65306122,19.75,10.30214286
NaSrHg2,-0.373060409,7.477241098,225,28.41445443,472.3775,156.25,24.25,1.07,1.47,0,5,28.99241379,0.149311109,35.6475,20.19,15.095
Sr(MgIn)2,-0.256887987,4.326322083,139,28.08550887,751.1,152.2,17.12,0.83,1.426,0.4,4,31.34,0.134652932,24.41312,15.9,13.27666667
Sr2CdHg,-0.406185551,6.285443861,225,32.24685767,732.135,166.5,28.5,1.05,1.3975,0,5,34.735,0.130554621,39.82875,20.19,15.945
SrCdHg2,-0.360776324,9.496962581,225,26.28035923,528.215,150.75,22.125,1.05,1.66,0,7.5,34.735,0.241545558,36.7275,20.19,10.8975
Sr4GaSn3,-0.725299607,4.638392791,25,34.74078558,752.26875,164.875,30.125,1.01,1.43625,0.875,5,35.3725,0.11917797,43.26703125,18.49,16.4375
SrCaTl2,-0.49382607,7.077509316,225,31.4665932,829.75,165.25,20.25,0.67,1.2975,0.5,5,27.32,0.137155397,26.274375,18.18333333,16.59583333
Sr2Zn3Cd,-0.25009496,5.392656045,8,24.83310376,795.3766667,150,30,0.74,1.423333333,0,6.666666667,40.27,0.235522713,42.7,19.73333333,12.645
CaAgHg2,-0.346949063,10.03694312,225,22.71223163,704.6425,146.25,14.875,1,1.7325,0,7.5,21.44,0.286874975,25.7709375,20.37333333,10.86083333
ZnAgPd2,-0.304421808,10.22791238,225,15.67188569,1395.9275,136.25,7.125,0.55,1.995,0,10,2.37,0.676704449,14.214375,2.19,5.601666667
NaAg2Sn,-0.089417573,7.392830495,225,20.07136249,836.4525,148.75,8.625,1.03,1.6875,0.5,7.5,16.955,0.315164674,14.5546875,17.12,11.2875
CaAgBi,-0.594120747,7.02510766,194,28.12249016,964.7766667,156.3333333,13.11111111,1.02,1.65,1,6.666666667,21.44,0.229753016,21.63333333,25.33333333,11.04111111
NaInAg2,-0.08625744,7.409635742,225,19.80778561,817.62,149.5,8.25,1,1.6425,0.25,7.5,12.91333333,0.348175945,13.550625,17.12,11.935
Li2AgBi,-0.371934438,7.33385086,225,18.72110206,671.6775,137.25,9.25,1.04,1.4775,0.75,5,16.62,0.242522231,13.666875,23.935,14.015
Li2MgIr,-0.162355032,6.375214203,215,15.00321522,1142.345,134.5,6.5,1.22,1.3675,0,1.75,8.68,0.099592146,8.88875,16.735,16.75916667
Pd,0,11.75902522,225,15.02799459,1828.05,139,0,0,2.2,0,10,0,0.693962526,0,0,4.8
Pd,0.015005063,11.72895427,194,15.0665237,1828.05,139,0,0,2.2,0,10,0,0.693962526,0,0,4.8
Pd,0.022572985,11.37785946,194,15.53144227,1828.05,139,0,0,2.2,0,10,0,0.693962526,0,0,4.8
Pd,0.04476507,11.3663719,229,15.54713931,1828.05,139,0,0,2.2,0,10,0,0.693962526,0,0,4.8
LiMg6Ni,0.046551037,2.200606732,38,19.94591379,964.96125,137.25,5.625,0.93,1.34375,0,1,12.57,0.048705252,7.55859375,17.535,11.966875
Mg6NiSn,0.008844775,3.292115146,38,20.37981907,971.385,138.625,3.65625,0.65,1.46625,0.25,2.25,22.965,0.099477742,5.360976563,3.966666667,9.8075
CaMg6Cu,0.052212533,2.256016845,38,22.95129762,1001.34625,144.25,7.9375,0.9,1.345,0,1.25,26.7,0.053711462,10.6759375,19.58333333,12.06041667
CaMg14Bi,0.023439366,2.498600825,187,24.47877081,911.3375,143.625,4.59375,1.02,1.335,0.1875,0.625,14.88,0.025563679,6.13265625,25.33333333,11.05416667
Mg14AlNi,0.047448366,2.109599461,187,20.95475421,973.966875,138.6875,4.046875,0.6,1.36625,0.0625,0.5,12.57,0.023037494,5.529042969,3.966666667,10.27083333
CaMg6Bi,-0.053247961,3.183664577,38,25.74578757,899.675,146.25,7.875,1.02,1.36,0.375,1.25,14.88,0.048063059,10.71,25.33333333,11.34166667
Mg6CuNi,0.065791544,2.99906551,38,18.55326725,1077.97125,137.75,4.875,0.6,1.45875,0,2.25,12.57,0.113400113,7.11140625,4.616666667,9.69375
Mg6CuNi,0.068458099,3.075538662,38,18.09194096,1077.97125,137.75,4.875,0.6,1.45875,0,2.25,12.57,0.113400113,7.11140625,4.616666667,9.69375
CaMg6Ni,0.072150997,2.254348988,38,22.52147863,1047.625,143.25,8.1875,0.91,1.34625,0,1,27.45,0.043142965,11.02242188,18.93333333,12.14166667
Sn2PdAu,-0.331039813,10.5002307,164,21.38120725,1043.885,138.25,1.125,0.58,2.165,1,10,18.875,0.40950041,2.435625,2.26,6.18
Ni2Sn4Au,-0.213230799,9.487925519,166,19.73164159,973.3785714,134.2857143,5.87755102,0.63,2.028571429,1.142857143,9.428571429,22.965,0.387142187,11.92303207,1.26,6.805714286
Li2GaAu,-0.552045801,7.990399112,216,14.57687047,636.905,128.5,3.75,1.56,1.5775,0.25,5,2.264166667,0.290933776,5.915625,18.535,15.6475
MgGaAu,-0.427557534,9.077105184,189,17.74456504,854.4133333,133,7.333333333,1.23,1.886666667,0.333333333,6.666666667,6.19,0.342187433,13.83555556,4.966666667,8.228888889
SrIn3Au,-0.414115972,7.895956262,107,26.45775647,735.316,151.4,17.44,1.59,1.766,0.6,8,37.53,0.27833832,30.79904,19.75,12.06
Li2SnAu,-0.527563775,8.067794399,216,16.95769784,687.4475,132.75,4.75,1.56,1.615,0.5,5,16.69166667,0.240466505,7.67125,18.535,15.3825
Na2HgAu,-0.294989354,8.15211369,225,22.5864439,578.3475,150,16,1.61,1.6,0,5,12.54333333,0.199155079,25.6,18.75,14.845
MgCdAu2,-0.368390624,12.05432443,225,18.27484463,1047.97,139.25,3.25,1.23,2.02,0,7.5,6.19,0.3958567,6.565,4.966666667,7.421666667
ZnPd2Au,-0.336700667,12.87653084,225,15.32078064,1421.5275,134,6,0.89,2.1475,0,10,2.74,0.672494956,12.885,1.016666667,5.304166667
Mg16Al12Au,-0.044862016,2.627569722,1,19.82253777,941.6196552,132.5517241,9.560047562,1.23,1.476551724,0.413793103,0.344827586,6.41,0.017220596,14.11590471,4.966666667,8.954022989
Li2BiAu,-0.471929845,8.817814733,216,19.7651693,697.2775,135,7,1.56,1.63,0.75,5,16.35666667,0.241438976,11.41,23.935,13.7175
LiPdAu2,-0.354512704,13.27264409,225,15.86687869,1239.1,134.75,3.375,1.56,2.065,0,7.5,2.29,0.465814399,6.969375,19.535,10.18375
Na2In5Au6,-0.270736271,10.5394899,200,21.83782368,839.5746154,142.9230769,7.100591716,1.61,2,0.384615385,8.461538462,12.54333333,0.392875851,14.20118343,18.31,10.09769231
Ca2PtAu,-0.906918472,8.595555653,225,22.80589781,1402.1825,156,20,1.54,1.705,0,4.75,22.75,0.177139661,34.1,19.93333333,15.94166667
Ca2PbAu,-0.645073705,7.420149044,225,27.09637441,1041.985,158.5,17.5,1.54,1.7175,0.5,5,21.07,0.166181969,30.05625,19.93333333,16.06541667
Li2PbAu,-0.385854824,9.59332443,225,18.09033942,711.33,134.5,6.5,1.56,1.7075,0.5,5,11.51666667,0.256421215,11.09875,18.535,15.36625
MgPdAu2,-0.429623764,12.57909377,225,17.3147476,1356.4275,138,2,1.23,2.1475,0,7.5,8.48,0.424328147,4.295,5.966666667,6.791666667
Ca(BiAu3)2,-0.28569867,14.11154906,156,21.44040086,1136.42,143.1111111,9.481481481,1.54,2.253333333,0.666666667,8.888888889,21.07,0.392406926,21.36493827,25.33333333,6.814814815
BiPd2Au,-0.189795124,14.07661297,225,18.24870688,1384.4575,140.5,3.75,0.52,2.24,0.75,10,18.54,0.509748949,8.4,5.4,3.95
Zn2AgAu,-0.131609739,11.01069586,123,16.42535702,989.405,131.25,9.25,0.89,1.9425,0,10,2.74,0.656275636,17.968125,1.19,6.105833333
Ca4Cd3Au,-0.429319546,5.272016689,123,27.34398572,947.49875,159,17,1.54,1.45125,0,5,21.07,0.17678386,24.67125,19.93333333,16.33666667
LiCd2Cu,0.828143703,0.542045609,71,226.1673754,749.975,137,7,0.92,1.565,0,7.5,8.425,0.450090018,10.955,18.185,11.28125
CuSnPd2,0.648793149,5.522406969,51,29.70047059,1379.7375,137.25,2.625,0.3,2.065,0.5,10,22.215,0.54663478,5.420625,2.26,5.7025
Li2CuAu,0.772063061,0.625229161,71,182.190359,900.62,131,3,1.56,1.6,0,5,5.63,0.32810193,4.8,18.535,15.155
Li2CuAg,1.006753669,0.413806308,71,185.8910635,875.02,133.25,5.875,0.95,1.4475,0,5,5.523333333,0.330105634,8.5040625,18.185,15.4525
InCuAu2,1.006712346,1.09936968,71,216.1060498,1115.545,136.5,2.75,0.76,2.19,0.25,10,13.19,0.581987487,6.0225,3.85,6.85
LiZn2Cu,0.971920094,0.542522347,71,154.0373491,799.205,126,4,0.92,1.545,0,7.5,5.523333333,0.539730135,6.18,18.51833333,10.52958333
GaCuAu2,0.999406778,1.196399024,71,182.9322259,1083.835,131.5,4.75,0.73,2.1975,0.25,10,7.7875,0.631637124,10.438125,2.32,6.4675
Li2ZnCu,1.039747351,0.309388553,71,191.6573968,739.4575,127.5,2.75,0.92,1.3775,0,5,5.523333333,0.343544231,3.788125,18.51833333,15.15916667
LiMg2Cu,1.158903161,0.214152899,71,230.8691851,914.365,135.5,5.5,0.92,1.375,0,2.5,11.82,0.136159397,7.5625,18.185,13.00458333
LiCuAu2,0.979980192,1.005334255,71,191.7739744,1121.53,133,3,1.56,1.99,0,7.5,5.63,0.491293193,5.97,18.535,10.52125
LiIn2Cu,1.105335641,0.529478996,71,235.3096013,667.74,136,6,0.92,1.61,0.5,7.5,13.19,0.393786918,9.66,18.185,12.44625
Mg2ZnCu,1.218017003,0.324865161,71,226.9046168,974.1125,134,7,0.59,1.5425,0,5,11.82,0.282445982,10.7975,4.95,8.375
ZnGaCu2,1.266505183,0.744966737,71,146.1250465,927.7825,127,5,0.25,1.815,0.25,10,7.7875,0.727835145,9.075,2.303333333,6.559166667
MgZnCu2,1.246805161,0.478801254,71,187.9771771,1082.805,131.75,4.875,0.59,1.69,0,7.5,11.82,0.508560773,8.23875,4.95,7.220833333
LiCuAg2,1.281917395,0.565357732,71,210.1700883,1070.33,137.5,7.5,0.95,1.685,0,7.5,5.523333333,0.497319998,12.6375,18.185,11.11625
Mg2CuAg,1.226018747,0.366466531,71,249.2443026,1109.675,139.75,3.875,0.62,1.6125,0,5,11.82,0.273298715,6.2484375,4.616666667,8.668333333
Sr2CuPd,1.049245883,0.489298954,71,292.8823189,1321.455,165.25,29.75,1.25,1.5,0,5,43.16,0.149320591,44.625,20.75,15.5125
MgCuAu2,1.056096981,0.898365103,71,222.6325857,1238.8575,136.25,2.375,1.23,2.0725,0,7.5,11.82,0.445368171,4.9221875,4.966666667,7.129166667
LiInCu2,1.241889756,0.522395593,71,197.7556915,899.745,133.5,4.25,0.92,1.64,0.25,7.5,13.19,0.476240872,6.97,18.185,11.57125
Mg2CuAu,1.049032838,0.557176369,71,230.3176026,1135.275,137.5,3.5,1.23,1.765,0,5,11.82,0.271923861,6.1775,4.966666667,8.370833333
LiZnCu2,1.311231149,0.540504642,71,153.1814931,965.4775,128.5,3.5,0.92,1.6075,0,7.5,5.523333333,0.569331984,5.62625,18.51833333,10.61291667
MgInCu2,1.350626152,0.609556474,71,181.3041229,1017.0725,136.75,4.75,0.59,1.7225,0.25,7.5,13.19,0.43296291,8.181875,4.616666667,8.179166667
ZnCu2Au,1.360687693,0.975002034,71,165.8268626,1186.3875,130.5,4.25,0.89,1.9975,0,10,5.63,0.757575758,8.489375,0.35,5.979166667
LiGa2Cu,1.199074525,0.490286283,71,177.7542835,604.32,126,4,0.92,1.625,0.5,7.5,7.7875,0.458867617,6.5,18.185,11.68125
Mg2GaCu,1.379185103,0.380972637,71,198.1882395,876.67,134,7,0.59,1.5825,0.25,5,11.82,0.264174619,11.0775,4.616666667,8.950833333
MgGaCu2,1.353578882,0.491221979,71,186.8698948,985.3625,131.75,4.875,0.59,1.73,0.25,7.5,11.82,0.469575426,8.43375,4.616666667,7.796666667
Ca2CuPd,1.121868406,0.383649301,71,270.6490999,1353.955,155.75,20.25,1.2,1.525,0,5,26.7,0.197980598,30.88125,20.93333333,15.60416667
Cd2CuPt,1.40270458,0.904161753,71,221.9710495,1146.9025,139,5,0.59,1.89,0,9.75,8.425,0.599262446,9.45,1.17,6.8225
Li2CuPd,1.285461217,0.417223687,71,182.9275253,1023.3,131.75,3.75,1.22,1.515,0,5,5.523333333,0.340909091,5.68125,19.535,14.905
Ga2CuPd,1.175157653,0.762480428,71,168.4602958,947.91,128.75,6.75,0.39,1.93,0.5,10,7.7875,0.632961468,13.0275,3.32,6.7975
Zn2CuPd,1.2628409,0.773240551,71,161.4838946,1142.795,128.75,6.75,0.55,1.85,0,10,3.34,0.74906367,12.4875,1.35,5.645833333
AlZnCu2,1.431363133,0.542036886,71,168.097107,1085.4225,126.75,5.25,0.29,1.765,0.25,7.5,5.41,0.570559148,9.26625,0.983333333,6.229166667
Ca2CuRh,1.366585425,0.396970567,71,257.8915305,1456.1925,156.5,19.5,1.28,1.545,0,4.5,26.7,0.179551122,30.1275,19.58333333,16.55416667
Cu2AgAu,1.65528716,1.244762431,71,144.0498315,1321.95,136.25,4.375,0.64,2.0675,0,10,5.63,0.72503172,9.0453125,1.19,6.2725
LiCu2Au,1.431044019,0.775501922,71,177.1877348,1126.64,132,2,1.56,1.83,0,7.5,5.63,0.541190619,3.66,18.535,10.60875
Mg2CuPd,1.307216815,0.426055427,71,212.973456,1257.955,138.25,3.125,0.89,1.68,0,5,11.82,0.280662363,5.25,5.966666667,8.120833333
Cu3SnAu,0.104271397,10.42497324,198,16.12963607,1183.144,134.2,2.64,0.64,2.04,0.4,10,22.215,0.600997656,5.3856,1.26,6.262
Sr2TlZn,-0.326309169,5.851271121,225,31.57405907,842.42,164.25,30.75,0.7,1.2925,0.25,5,40.27,0.133931561,39.744375,19.73333333,16.11666667
Mg16Al12Tl,0.00267503,2.573381075,8,20.40497708,915.4013793,132.862069,9.816884661,0.31,1.444827586,0.448275862,0.344827586,10.43,0.016923051,14.18370577,3.966666667,9.014367816
