formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Mg2InAg,1.14257901,279.1507025,877.67,142.25,0.62,1.5825,0.25,5,3.776666667,9.543333333
Mg2Ni,-0.153033664,16.68702686,1191.333333,135.3333333,0.6,1.51,0,2.666666667,3.966666667,9.444444444
Mg2Sn,-0.167098778,25.7464932,783.6933333,140.3333333,0.65,1.526666667,0.666666667,3.333333333,3.706666667,9.531111111
Mg2Zn,-0.034285647,18.97785252,846.2266667,134.6666667,0.34,1.423333333,0,3.333333333,4.95,9.116666667
Mg2Zn11,-0.062448946,15.26116231,728.1138462,124.9230769,0.34,1.597692308,0,8.461538462,4.95,6.578205128
Mg2ZnAg,1.01462942,258.7325167,943.4025,137.25,0.62,1.55,0,5,4.95,8.585
Mg2ZnCu,1.218017003,226.9046168,974.1125,134,0.59,1.5425,0,5,4.95,8.375
Mg3(AlCu2)2,-0.207595731,14.91619951,1118.557778,132.5555556,0.59,1.638888889,0.222222222,4.444444444,4.616666667,7.833333333
Mg30Al24Ag19,-0.032273762,19.39056537,1007.629452,135.4657534,0.62,1.57,0.328767123,2.602739726,3.966666667,8.479589041
Mg32Al36Ag13,-0.061067788,18.95682452,977.7161728,132.7530864,0.62,1.542839506,0.444444444,1.604938272,3.966666667,8.397572016
Mg3Ag,-0.093537233,19.74457875,1000.9825,142,0.62,1.465,0,2.5,3.776666667,9.8225
Mg3Al,0.021869511,20.54709805,925.6175,136,0.3,1.385,0.25,0,3.966666667,9.775
Mg3Bi,-0.080723014,24.0644667,828.35,142.75,0.71,1.4875,0.75,2.5,10.36666667,8.175
Mg3Bi2,-0.178665939,28.0509219,771.56,143.8,0.71,1.594,1.2,4,10.36666667,6.62
Mg3Cu,0.002299999,19.05008227,1031.6925,138.75,0.59,1.4575,0,2.5,4.616666667,9.6125
Mg3In,-0.07422344,22.13217835,799.6875,141.25,0.47,1.4275,0.25,2.5,1.116666667,10.4875
Mg3InAg4,-0.181988365,18.3649908,1017.30875,143.125,0.62,1.67875,0.125,6.25,3.776666667,8.73875
Mg3Ni,0.066642926,18.05317248,1124.25,136.75,0.6,1.46,0,2,3.966666667,9.775
Mg3Sn,-0.11613797,21.96891211,818.52,140.5,0.65,1.4725,0.5,2.5,3.706666667,9.84
Mg3Zn,-0.026333485,19.52975347,865.42,136.25,0.34,1.395,0,2.5,4.95,9.529166667
Mg41Al67,0.040276534,18.73227012,929.4952778,128.5925926,0.3,1.496111111,0.62037037,0,3.966666667,8.305864198
Mg4AlZn11,0.057260368,17.77765959,765.309375,126.6875,0.34,1.5625,0.0625,6.875,4.95,7.115625
Mg4Cu,0.352292434,24.32254313,1009.954,139.2,0.59,1.428,0,2,4.616666667,9.843333333
Mg4CuNi,-0.124121419,17.14900573,1129.628333,136.6666667,0.6,1.508333333,0,3,4.616666667,9.336111111
Mg4Zn7,-0.11926881,17.09137765,776.4327273,128.9090909,0.34,1.526363636,0,6.363636364,4.95,7.616666667
Mg54Ag17,-0.109799735,20.87673318,997.6874648,141.9577465,0.62,1.458450704,0,2.394366197,3.776666667,9.862394366
Mg5Ag,-0.058729828,20.69264279,974.9883333,141.6666667,0.62,1.413333333,0,1.666666667,3.776666667,10.13722222
Mg5Bi,-0.002583239,23.92184151,859.9,142.1666667,0.71,1.428333333,0.5,1.666666667,10.36666667,9.038888889
Mg5Cu,0.028712746,19.88979842,995.4616667,139.5,0.59,1.408333333,0,1.666666667,4.616666667,9.997222222
Mg5In,-0.006579465,22.39606939,840.7916667,141.1666667,0.47,1.388333333,0.166666667,1.666666667,1.116666667,10.58055556
Mg5In2,-0.048919248,22.79557084,782.0714286,141.2857143,0.47,1.444285714,0.285714286,2.857142857,1.116666667,10.44761905
Mg5Sn,-0.020839058,22.67625988,853.3466667,140.6666667,0.65,1.418333333,0.333333333,1.666666667,3.706666667,10.14888889
Mg5Zn,-0.004514537,20.65136083,884.6133333,137.8333333,0.34,1.366666667,0,1.666666667,4.95,9.941666667
Mg6AlBi,0.027081913,23.3390133,876.98375,139.375,0.71,1.43625,0.5,1.25,10.36666667,8.975
Mg6AlCu,0.058117517,19.77737847,978.655,137.375,0.59,1.42125,0.125,1.25,4.616666667,9.69375
Mg6AlNi,0.034212498,19.22684446,1024.93375,136.375,0.6,1.4225,0.125,1,3.966666667,9.775
Mg6AlSn,0.002778844,22.24208579,872.06875,138.25,0.65,1.42875,0.375,1.25,3.966666667,9.8075
Mg6AlZn,0.03341915,20.77250046,895.51875,136.125,0.34,1.39,0.125,1.25,4.95,9.652083333
Mg6CuBi,0.025366178,22.33226559,930.02125,140.75,0.71,1.4725,0.375,2.5,10.36666667,8.89375
Mg6CuNi,0.065791544,18.55326725,1077.97125,137.75,0.6,1.45875,0,2.25,4.616666667,9.69375
Mg6CuSn,0.014594901,21.05909754,925.10625,139.625,0.65,1.465,0.25,2.5,4.616666667,9.72625
Mg6NiBi,0.027990123,21.53334889,976.3,139.75,0.71,1.47375,0.375,2.25,10.36666667,8.975
Mg6NiSn,-0.105445233,21.38046709,971.385,138.625,0.65,1.46625,0.25,2.25,3.966666667,9.8075
Mg6SnBi,-0.032688395,24.49698825,823.435,141.625,0.71,1.48,0.625,2.5,10.36666667,9.0075
Mg6ZnBi,0.006343238,22.92791176,846.885,139.5,0.71,1.44125,0.375,2.5,10.36666667,8.852083333
Mg6ZnCu,0.038263841,19.57070436,948.55625,137.5,0.59,1.42625,0,2.5,4.95,9.570833333
Mg6ZnNi,0.033087503,19.11702783,994.835,136.5,0.6,1.4275,0,2.25,4.95,9.652083333
Mg6ZnSn,-0.013418365,22.12297855,841.97,138.375,0.65,1.43375,0.25,2.5,4.95,9.684583333
Mg7Al,0.041225046,21.5093248,924.30875,138.5,0.3,1.3475,0.125,0,3.966666667,10.27083333
Mg7Bi,-1.45063E-06,23.44496443,875.675,141.875,0.71,1.39875,0.375,1.25,10.36666667,9.470833333
Mg7Cu,0.033928098,20.82866593,977.34625,139.875,0.59,1.38375,0,1.25,4.616666667,10.18958333
Mg7Ni,0.054310526,19.73135576,1023.625,138.875,0.6,1.385,0,1,3.966666667,10.27083333
Mg7Sn,-0.015956671,22.37790322,870.76,140.75,0.65,1.39125,0.25,1.25,3.706666667,10.30333333
Mg7Zn,0.027453056,21.05483511,894.21,138.625,0.34,1.3525,0,1.25,4.95,10.14791667
Mg9Sn5,-0.158962287,24.49013809,773.7428571,140.2857143,0.65,1.542142857,0.714285714,3.571428571,3.706666667,9.442857143
MgAg,-0.230418723,18.0328978,1078.965,143,0.62,1.62,0,5,3.776666667,8.878333333
MgAg2,-0.162846764,17.65498548,1130.953333,143.6666667,0.62,1.723333333,0,6.666666667,3.776666667,8.248888889
MgAg3,-0.146502536,17.45957177,1156.9475,144,0.62,1.775,0,7.5,3.776666667,7.934166667
MgAg4,-0.026510542,18.34112234,1172.544,144.2,0.62,1.806,0,8,3.776666667,7.745333333
MgAg5,-0.092238796,17.43342199,1182.941667,144.3333333,0.62,1.826666667,0,8.333333333,3.776666667,7.619444444
MgAl,0.014338813,18.79564999,928.235,131,0.3,1.46,0.5,0,3.966666667,8.783333333
MgAl2,-0.011892303,18.33633818,929.98,127.6666667,0.3,1.51,0.666666667,0,3.966666667,8.122222222
MgAl2Cu,-0.174859909,16.16870346,1036.9275,128.75,0.59,1.6075,0.5,2.5,4.616666667,7.629166667
MgAl3,0.016106824,17.23948939,930.8525,126,0.3,1.535,0.75,0,3.966666667,7.791666667
MgAlAg,-0.128983991,18.6778266,1030.466667,135.6666667,0.62,1.616666667,0.333333333,3.333333333,3.966666667,8.185555556
MgAlAg2,-0.167760192,16.80508209,1081.5825,138,0.62,1.695,0.25,5,3.966666667,7.886666667
MgAlCu,-0.089164996,16.47163786,1071.413333,131.3333333,0.59,1.606666667,0.333333333,3.333333333,4.616666667,7.905555556
MgAlNi2,-0.411823771,12.52703253,1328.1175,127.5,0.6,1.685,0.25,4,3.966666667,7.791666667
MgBi,-0.077709408,28.16441839,733.7,144.5,0.71,1.665,1.5,5,10.36666667,5.583333333
MgBi2,-0.00866669,29.34029158,670.6,145.6666667,0.71,1.783333333,2,6.666666667,10.36666667,3.855555556
MgBi3,0.037049312,29.68137902,639.05,146.25,0.71,1.8425,2.25,7.5,10.36666667,2.991666667
MgBi5,0.070073286,31.28084849,607.5,146.8333333,0.71,1.901666667,2.5,8.333333333,10.36666667,2.127777778
MgCu,-0.074831117,15.71159675,1140.385,136.5,0.59,1.605,0,5,4.616666667,8.458333333
MgCu2,-0.124088625,14.06221817,1212.846667,135,0.59,1.703333333,0,6.666666667,4.616666667,7.688888889
MgCu3,-0.023268631,12.88334085,1249.0775,134.25,0.59,1.7525,0,7.5,4.616666667,7.304166667
MgCu4Sn,-0.121558695,14.19305252,1143.193333,134.6666667,0.65,1.811666667,0.333333333,8.333333333,4.616666667,7.071111111
MgCu5,-0.013281263,12.7684226,1285.308333,133.5,0.59,1.801666667,0,8.333333333,4.616666667,6.919444444
MgCuBi,-0.098952578,22.17872972,941.7233333,140.3333333,0.71,1.743333333,1,6.666666667,10.36666667,5.772222222
MgCuSn,-0.167420897,19.68746878,928.6166667,137.3333333,0.65,1.723333333,0.666666667,6.666666667,4.616666667,7.992222222
MgIn,-0.076012746,22.6384024,676.375,141.5,0.47,1.545,0.5,5,1.116666667,10.20833333
MgIn2,-0.070641282,24.03613425,594.1666667,141.6666667,0.47,1.623333333,0.666666667,6.666666667,1.116666667,10.02222222
MgIn3,-0.027532086,24.9233901,553.0625,141.75,0.47,1.6625,0.75,7.5,1.116666667,9.929166667
MgIn5,0.010828672,25.40751577,511.9583333,141.8333333,0.47,1.701666667,0.833333333,8.333333333,1.116666667,9.836111111
MgInAg2,-0.138226364,18.7583795,955.6525,143.25,0.62,1.7375,0.25,7.5,3.776666667,8.599166667
MgInCu2,1.350626152,181.3041229,1017.0725,136.75,0.59,1.7225,0.25,7.5,4.616666667,8.179166667
MgInNi2,-0.18693864,14.31951758,1202.1875,132.75,0.6,1.7275,0.25,6.5,3.966666667,8.504166667
MgNi,-0.137469887,13.60583459,1325.5,132.5,0.6,1.61,0,4,3.966666667,8.783333333
MgNi2,-0.210482842,12.75459988,1459.666667,129.6666667,0.6,1.71,0,5.333333333,3.966666667,8.122222222
MgNi2Sn,-0.26854904,14.26734311,1221.02,132,0.65,1.7725,0.5,6.5,3.966666667,7.856666667
MgNi3,-0.064272374,12.08380721,1526.75,128.25,0.6,1.76,0,6,3.966666667,7.791666667
MgNi5,-0.011145322,11.60845468,1593.833333,126.8333333,0.6,1.81,0,6.666666667,3.966666667,7.461111111
MgNiBi,-0.190246502,19.9164096,1065.133333,137.6666667,0.71,1.746666667,1,6,10.36666667,5.988888889
MgSn,-0.104141935,23.47301767,714.04,140,0.65,1.635,1,5,3.706666667,8.913333333
MgSn2,-0.022895358,25.77816718,644.3866667,139.6666667,0.65,1.743333333,1.333333333,6.666666667,3.706666667,8.295555556
MgSn3,-0.028116252,25.46636882,609.56,139.5,0.65,1.7975,1.5,7.5,3.706666667,7.986666667
MgSn5,0.022042943,25.88354714,574.7333333,139.3333333,0.65,1.851666667,1.666666667,8.333333333,3.706666667,7.677777778
MgZn,-0.073122858,17.32731838,807.84,131.5,0.34,1.48,0,5,4.95,8.291666667
MgZn2,-0.130630305,16.06887625,769.4533333,128.3333333,0.34,1.536666667,0,6.666666667,4.95,7.466666667
MgZn3,-0.057860312,15.52979153,750.26,126.75,0.34,1.565,0,7.5,4.95,7.054166667
MgZn4Ag5,-0.086622344,16.71157847,986.837,135.4,0.62,1.756,0,9,4.95,6.898333333
MgZn5,-0.037178825,16.34485142,731.0666667,125.1666667,0.34,1.593333333,0,8.333333333,4.95,6.641666667
MgZnAg2,-0.152613897,16.55357561,1021.385,138.25,0.62,1.705,0,7.5,4.95,7.640833333
MgZnCu,-0.18799129,14.85621903,991.15,131.6666667,0.59,1.62,0,6.666666667,4.95,7.577777778
MgZnCu2,1.246805161,187.9771771,1082.805,131.75,0.59,1.69,0,7.5,4.95,7.220833333
MgZnNi2,-0.199294949,12.40615886,1267.92,127.75,0.6,1.695,0,6.5,4.95,7.545833333
Ni,0,10.49202034,1728,124,0,1.91,0,8,0,6.8
Ni3Ag,0.233211393,12.49484871,1604.7325,129.25,0.02,1.915,0,8.5,0.19,6.8475
Ni3Bi,0.173440367,13.95771875,1432.1,130,0.11,1.9375,0.75,8.5,6.4,5.2
Ni3Sn,-0.185863532,12.55640708,1422.27,127.75,0.05,1.9225,0.5,8.5,0.26,6.865
Ni3Sn2,-0.260819206,14.8695044,1238.832,130,0.05,1.93,0.8,8.8,0.26,6.904
Ni3Sn4,-0.22278012,17.74528295,1029.188571,132.5714286,0.05,1.938571429,1.142857143,9.142857143,0.26,6.948571429
Ni4Sn3,-0.258491829,16.16940227,1203.891429,130.4285714,0.05,1.931428571,0.857142857,8.857142857,0.26,6.911428571
Ni7Sn8,-0.227432517,17.53972389,1075.776,132,0.05,1.936666667,1.066666667,9.066666667,0.26,6.938666667
NiAg3,0.184967158,16.14232891,1358.1975,139.75,0.02,1.925,0,9.5,0.19,6.9425
NiBi,0.026048008,19.25251497,1136.2,136,0.11,1.965,1.5,9,6.4,3.6
NiBi3,0.036121234,27.10735893,840.3,142,0.11,1.9925,2.25,9.5,6.4,2
NiSn,-0.232733852,16.86429516,1116.54,131.5,0.05,1.935,1,9,0.26,6.93
Sn,0,35.44875317,505.08,139,0,1.96,2,10,0,7.06
Sn3Bi,0.090190959,28.5114623,514.91,141.25,0.06,1.975,2.25,10,6.66,5.395
SnBi,0.095372107,30.12919657,524.74,143.5,0.06,1.99,2.5,10,6.66,3.73
SnBi3,0.106889579,30.87331988,534.57,145.75,0.06,2.005,2.75,10,6.66,2.065
Zn,0,14.42255446,692.68,122,0,1.65,0,10,0,5.816666667
Zn11Ni2,-0.162326948,13.20569513,851.96,122.3076923,0.26,1.69,0,9.692307692,0.983333333,5.967948718
Zn2Ag,-0.026481082,15.07657149,873.43,129.6666667,0.28,1.743333333,0,10,1.173333333,6.207777778
Zn2CuNi,-0.163784275,12.05231274,1117.7825,125,0.26,1.7775,0,9.5,0.983333333,6.145833333
Zn35Cu17,-0.101228456,13.53650281,910.1132692,125.2692308,0.25,1.731730769,0,10,0.333333333,5.925641026
Zn3Ag,-0.019562568,15.01901869,828.2425,127.75,0.28,1.72,0,10,1.173333333,6.11
Zn3Cu,-0.080879762,13.20426432,858.9525,124.5,0.25,1.7125,0,10,0.333333333,5.9
Zn3In,0.066450947,18.9361403,626.9475,127,0.13,1.6825,0.25,10,3.833333333,6.775
Zn3Ni,-0.169119675,12.64993949,951.51,122.5,0.26,1.715,0,9.5,0.983333333,6.0625
Zn3Sn,0.098808205,19.4808841,645.78,126.25,0.31,1.7275,0.5,10,1.243333333,6.1275
Zn53Ni16,-0.193203357,13.44320016,932.7542029,122.4637681,0.26,1.710289855,0,9.536231884,0.983333333,6.04468599
Zn8Ag5,-0.023234961,15.43927724,901.2376923,130.8461538,0.28,1.757692308,0,10,1.173333333,6.267948718
ZnAg,-0.035582831,15.63142478,963.805,133.5,0.28,1.79,0,10,1.173333333,6.403333333
ZnAg3,-0.01577504,16.46478096,1099.3675,139.25,0.28,1.86,0,10,1.173333333,6.696666667
ZnBi,0.106655646,28.36083001,618.54,135,0.37,1.835,1.5,10,5.416666667,3.108333333
ZnBi3,0.177580922,29.03768595,581.47,141.5,0.37,1.9275,2.25,10,5.416666667,1.754166667
ZnCu,-0.09075503,12.45562976,1025.225,127,0.25,1.775,0,10,0.333333333,5.983333333
ZnCu2,-0.03288788,12.12884084,1136.073333,128.6666667,0.25,1.816666667,0,10,0.333333333,6.038888889
ZnCu2Ni,-0.122425328,11.50756869,1284.055,127.5,0.26,1.84,0,9.5,0.983333333,6.229166667
ZnCu3,-0.021427165,11.92889376,1191.4975,129.5,0.25,1.8375,0,10,0.333333333,6.066666667
ZnCuNi2,-0.120227037,11.18707197,1376.6125,125.5,0.26,1.8425,0,9,0.983333333,6.391666667
ZnIn3,0.091540633,24.71551628,495.4825,137,0.13,1.7475,0.75,10,3.833333333,8.691666667
ZnNi,-0.254970535,11.56881449,1210.34,123,0.26,1.78,0,9,0.983333333,6.308333333
ZnNi3,-0.11605867,11.04217221,1469.17,123.5,0.26,1.845,0,8.5,0.983333333,6.554166667
ZnNi4,-0.029161446,11.24695737,1520.936,123.6,0.26,1.858,0,8.4,0.983333333,6.603333333
ZnSn3,0.112768416,25.50578786,551.98,134.75,0.31,1.8825,1.5,10,1.243333333,6.749166667
