formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Li2CuSn,-0.325861523,15.17895212,692.5575,131.75,0.98,1.455,0.5,5,18.185,15.47
Li2CuSn2,-0.310138366,18.7768905,655.062,133.2,0.98,1.556,0.8,6,18.185,13.788
Li2In,-0.369419119,18.41109417,445.71,132.6666667,0.8,1.246666667,0.333333333,3.333333333,14.685,19.44
Li2InAg,-0.330155377,17.47673495,643.015,135.75,0.95,1.4175,0.25,5,17.345,16.3275
Li2InBi,-0.407213775,22.02763488,470.3825,136.5,1.04,1.44,1,5,23.935,14.68
Li2InSn,-0.304122735,19.54945116,460.5525,134.25,0.98,1.425,0.75,5,17.275,16.345
Li2Mg,-0.031753756,20.21060177,610.1266667,132.3333333,0.33,1.09,0,0,13.56833333,19.81222222
Li2MgAg,-0.174071358,17.96384493,766.3275,135.5,0.95,1.3,0,2.5,17.345,16.60666667
Li2MgBi,-0.268970265,22.56959845,593.695,136.25,1.04,1.3225,0.75,2.5,23.935,14.95916667
Li2MgIn,-0.216344615,18.28450559,565.0325,134.75,0.8,1.2625,0.25,2.5,14.685,17.27166667
Li2MgSn,-0.341448874,19.20924381,583.865,134,0.98,1.3075,0.5,2.5,17.275,16.62416667
Li2MgZn,-0.123768298,16.90688976,630.765,129.75,0.67,1.23,0,2.5,18.51833333,16.31333333
Li2Sn5,-0.181562785,23.51108756,490.3971429,135.8571429,0.98,1.68,1.428571429,7.142857143,17.275,11.99571429
Li2SnBi,1.040334497,264.4840872,489.215,135.75,1.04,1.485,1.25,5,23.935,14.0325
Li2ZnAg,0.869148133,226.3334494,708.7475,130.75,0.95,1.385,0,5,18.51833333,15.36916667
Li2ZnCu,1.039747351,191.6573968,739.4575,127.5,0.92,1.3775,0,5,18.51833333,15.15916667
Li2ZnCu3,-0.126812944,13.76247764,945.5616667,129,0.92,1.551666667,0,6.666666667,18.51833333,12.15611111
Li2ZnIn,0.93844738,256.0534892,507.4525,130,0.8,1.3475,0.25,5,18.51833333,16.03416667
Li2ZnSn,-0.317597568,16.72430552,526.285,129.25,0.98,1.3925,0.5,5,18.51833333,15.38666667
Li3(ZnSn2)2,-0.254041627,21.56116758,529.6388889,131.5555556,0.98,1.564444444,0.888888889,6.666666667,18.51833333,12.54203704
Li3Ag,-0.122345376,16.41397026,649,132.25,0.95,1.2175,0,2.5,17.345,19.99875
Li3Ag2,-0.144521753,16.11726015,766.186,134.8,0.95,1.36,0,4,17.345,17.397
Li3Ag3Sn2,-0.274158902,18.40214425,759.5025,137.125,0.98,1.58125,0.5,6.25,17.345,13.511875
Li3Al,-0.07757908,16.63377353,573.635,126.25,0.63,1.1375,0.25,0,17.535,19.95125
Li3Al2,-0.20584683,16.02569461,645.602,125.2,0.63,1.232,0.4,0,17.535,17.321
Li3Bi,-0.627829369,18.72197353,476.3675,133,1.04,1.24,0.75,2.5,23.935,18.35125
Li3Cu,0.056218755,14.70668514,679.71,129,0.92,1.21,0,2.5,18.185,19.78875
Li3In,-0.299054725,17.86202711,447.705,131.5,0.8,1.18,0.25,2.5,14.685,20.66375
Li3In2,-0.388714174,18.85082831,444.114,133.6,0.8,1.3,0.4,4,14.685,18.461
Li3Mg,-0.024002206,20.34909341,571.0175,131.25,0.33,1.0625,0,0,13.56833333,20.94291667
Li3Mg5,-0.028067602,21.10471188,747.00875,136.125,0.33,1.18625,0,0,13.56833333,15.85479167
Li3Ni,0.093283325,13.74529179,772.2675,127,0.93,1.2125,0,2,17.535,19.95125
Li3Sn,-0.385153931,17.51293564,466.5375,130.75,0.98,1.225,0.5,2.5,17.275,20.01625
Li3Zn,-0.085030139,15.97247722,513.4375,126.5,0.67,1.1475,0,2.5,18.51833333,19.70541667
Li4(AlCu2)3,-0.19545534,13.95896203,981.6761538,128.2307692,0.92,1.55,0.230769231,4.615384615,18.185,11.89538462
Li4Mg,-0.009990516,20.79774003,547.552,130.6,0.33,1.046,0,0,13.56833333,21.62133333
Li5In4,-0.387570831,19.17026156,443.05,134.2222222,0.8,1.335555556,0.444444444,4.444444444,14.685,17.80833333
Li5Mg,-0.014909771,20.4163888,531.9083333,130.1666667,0.33,1.035,0,0,13.56833333,22.07361111
Li5Sn2,-0.399561004,17.95291169,468.3728571,131.1428571,0.98,1.26,0.571428571,2.857142857,17.275,19.39928571
Li6Al13Cu8,-0.200413861,14.84140645,952.5707407,125.8148148,0.92,1.555925926,0.481481481,2.962962963,18.185,10.50407407
Li7Al6,1.577109371,563.1461652,675.1269231,124.7692308,0.63,1.270769231,0.461538462,0,17.535,16.24192308
Li7Sn2,-0.373882656,17.54820085,465.11,130.4444444,0.98,1.197777778,0.444444444,2.222222222,17.275,20.49611111
Li7Sn3,-0.393682952,18.02812704,469.107,131.3,0.98,1.274,0.6,3,17.275,19.1525
Li9Ag4,-0.13117913,17.32042542,694.0715385,133.2307692,0.95,1.272307692,0,3.076923077,17.345,18.99807692
LiAg,-0.180452101,15.22571236,844.31,136.5,0.95,1.455,0,5,17.345,15.6625
LiAg2Bi,1.174146193,270.548827,866.9875,141.5,1.04,1.715,0.75,7.5,23.935,9.67875
